objectiveId,subject,yearBand,strand,subtopic,allowedModes,learningPhases
N1.1,ks3-maths,Y7,PV,Recognise the place value of any number in an integer up to one billion,"NUMERIC|SHORT_TEXT","ONBOARDING|LEARN|RETEACH"
N1.2,ks3-maths,Y7,PV,Write integers in words and figures,"SHORT_TEXT|NUMERIC","ONBOARDING|LEARN|RETEACH"
N1.3,ks3-maths,Y7,PV,Compare two numbers using =, ≠, <, >, ≤, ≥,"TRUE_FALSE|SHORT_TEXT|SINGLE_CHOICE","ONBOARDING|LEARN|RETEACH|RETAIN"
N1.4,ks3-maths,Y7,PV,Order a list of integers,"ORDER_SEQUENCE|SHORT_TEXT","ONBOARDING|LEARN|RETEACH"
N1.5,ks3-maths,Y7,STA,Finding the median from a set of numbers,"NUMERIC|SHORT_TEXT","ONBOARDING|LEARN|RETEACH|RETAIN"
N1.6,ks3-maths,Y7,PV,Decimal place value,"NUMERIC|SHORT_TEXT","ONBOARDING|LEARN|RETEACH"
N1.7,ks3-maths,Y7,PV,Compare decimals using =, ≠, <, >, ≤, ≥,"TRUE_FALSE|SHORT_TEXT|SINGLE_CHOICE","ONBOARDING|LEARN|RETEACH|RETAIN"
N1.8,ks3-maths,Y7,PV,Order a list of decimals,"ORDER_SEQUENCE|SHORT_TEXT","ONBOARDING|LEARN|RETEACH"
N1.9,ks3-maths,Y7,PV,Position integers on a number line,"NUMERIC|SHORT_TEXT","ONBOARDING|LEARN|RETEACH|RETAIN"
N1.10,ks3-maths,Y7,PV,Rounding to the nearest 10, 100, 1000, integer,"NUMERIC|SINGLE_CHOICE","ONBOARDING|LEARN|RETEACH|RETAIN"
N1.11,ks3-maths,Y7,PV,Position decimals on a number line,"NUMERIC|SHORT_TEXT","ONBOARDING|LEARN|RETEACH|RETAIN"
N1.12,ks3-maths,Y7,PV,Rounding to decimal places,"NUMERIC|SINGLE_CHOICE","ONBOARDING|LEARN|RETEACH|RETAIN"
N1.13,ks3-maths,Y7,PV,Position negatives on a number line,"NUMERIC|SHORT_TEXT","ONBOARDING|LEARN|RETEACH|RETAIN"
N1.14,ks3-maths,Y7,PV,Compare negatives using =, ≠, <, >, ≤, ≥,"TRUE_FALSE|SHORT_TEXT|SINGLE_CHOICE","ONBOARDING|LEARN|RETEACH|RETAIN"
N1.15,ks3-maths,Y7,PV,Order any integers, negatives and decimals,"ORDER_SEQUENCE|SHORT_TEXT","ONBOARDING|LEARN|RETEACH"
N1.16,ks3-maths,Y7,PV,Rounding to significant figures,"NUMERIC|SINGLE_CHOICE","ONBOARDING|LEARN|RETEACH|RETAIN"
N1.17,ks3-maths,Y7,POW,Write 10 100 1000 etc. as powers of 10,"NUMERIC|SHORT_TEXT","ONBOARDING|LEARN|RETEACH"
N1.18,ks3-maths,Y7,POW,Write positive integers in the form A × 10^n,"SHORT_TEXT|NUMERIC","ONBOARDING|LEARN|RETEACH"
N1.19,ks3-maths,Y7,POW,Understand negative powers of 10,"SHORT_TEXT|TRUE_FALSE|SINGLE_CHOICE","ONBOARDING|LEARN|RETEACH"
N1.20,ks3-maths,Y7,PV,Place value systems beyond base 10,"SHORT_TEXT|NUMERIC|SINGLE_CHOICE","ONBOARDING|LEARN|RETEACH"
N2.1,ks3-maths,Y7,ADD,Properties of addition and subtraction,"SHORT_TEXT|TRUE_FALSE|SINGLE_CHOICE","ONBOARDING|LEARN|RETEACH"
N2.2,ks3-maths,Y7,ADD,Mental strategies for addition and subtraction,"NUMERIC|SHORT_TEXT","ONBOARDING|LEARN|RETEACH|RETAIN"
N2.3,ks3-maths,Y7,LAW,Use commutative and associative laws,"TRUE_FALSE|SHORT_TEXT|NUMERIC","ONBOARDING|LEARN|RETEACH"
N2.4,ks3-maths,Y7,ADD,Use formal methods for addition of integers,"NUMERIC","ONBOARDING|LEARN|RETEACH|RETAIN"
N2.5,ks3-maths,Y7,ADD,Use formal methods for addition of decimals,"NUMERIC","ONBOARDING|LEARN|RETEACH|RETAIN"
N2.6,ks3-maths,Y7,ADD,Use formal methods for subtraction of integers,"NUMERIC","ONBOARDING|LEARN|RETEACH|RETAIN"
N2.7,ks3-maths,Y7,ADD,Use formal methods for subtraction of decimals,"NUMERIC","ONBOARDING|LEARN|RETEACH|RETAIN"
N2.8,ks3-maths,Y7,ADD,Money problems involving addition and subtraction,"NUMERIC|SINGLE_CHOICE","ONBOARDING|LEARN|RETEACH"
N2.9,ks3-maths,Y7,PER,Perimeter of irregular polygons,"NUMERIC|SHORT_TEXT","ONBOARDING|LEARN|RETEACH|RETAIN"
N2.10,ks3-maths,Y7,PER,Perimeter of regular polygons,"NUMERIC|SHORT_TEXT","ONBOARDING|LEARN|RETEACH|RETAIN"
N2.11,ks3-maths,Y7,PER,Perimeter of rectangles and parallelograms,"NUMERIC|SHORT_TEXT","ONBOARDING|LEARN|RETEACH|RETAIN"
N2.12,ks3-maths,Y7,PER,Perimeter of an isosceles triangle or an isosceles trapezium,"NUMERIC|SHORT_TEXT","ONBOARDING|LEARN|RETEACH|RETAIN"
N2.13,ks3-maths,Y7,PER,Perimeter of a compound shape,"NUMERIC|SHORT_TEXT|TRUE_FALSE","ONBOARDING|LEARN|RETEACH|RETAIN"
N2.14,ks3-maths,Y7,REP,Solve problems involving tables and timetables,"SINGLE_CHOICE|SHORT_TEXT|NUMERIC","ONBOARDING|LEARN|RETEACH"
N2.15,ks3-maths,Y7,REP,Solve problems with frequency trees,"SINGLE_CHOICE|SHORT_TEXT|NUMERIC","ONBOARDING|LEARN|RETEACH"
N2.16,ks3-maths,Y7,POW,Add and subtract numbers given in standard form,"NUMERIC|SHORT_TEXT","ONBOARDING|LEARN|RETEACH"
N3.1,ks3-maths,Y7,MUL,Properties of multiplication and division,"SHORT_TEXT|TRUE_FALSE|SINGLE_CHOICE","ONBOARDING|LEARN|RETEACH"
N3.2,ks3-maths,Y7,MUL,Mental strategies for multiplication and division,"NUMERIC|SHORT_TEXT","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.3,ks3-maths,Y7,MUL,Multiply and divide integers and decimals by powers of 10,"NUMERIC|SHORT_TEXT","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.4,ks3-maths,Y7,MUL,Multiplication without carrying,"NUMERIC","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.5,ks3-maths,Y7,MUL,Multiplication with carrying,"NUMERIC","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.6,ks3-maths,Y7,ARE,Area of rectangles parallelograms triangles and compound shapes,"NUMERIC|SHORT_TEXT","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.7,ks3-maths,Y7,MUL,Short division without carrying,"NUMERIC","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.8,ks3-maths,Y7,MUL,Short division with carrying,"NUMERIC","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.9,ks3-maths,Y7,ORD,Order of operations,"NUMERIC|SHORT_TEXT|SINGLE_CHOICE","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.10,ks3-maths,Y7,FAC,Multiples,"NUMERIC|SHORT_TEXT|SINGLE_CHOICE","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.11,ks3-maths,Y7,FAC,Factors,"NUMERIC|SHORT_TEXT|SINGLE_CHOICE","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.12,ks3-maths,Y7,FAC,Lowest common multiple,"NUMERIC|SHORT_TEXT","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.13,ks3-maths,Y7,FAC,Highest common factor,"NUMERIC|SHORT_TEXT","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.14,ks3-maths,Y7,MEA,Convert metric units,"NUMERIC|SHORT_TEXT|SINGLE_CHOICE","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.15,ks3-maths,Y7,MUL,Decimal multiplication decimal times integer,"NUMERIC","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.16,ks3-maths,Y7,MUL,Decimal multiplication decimal times decimal,"NUMERIC","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.17,ks3-maths,Y7,MUL,Multiply by 0.1 and 0.01,"NUMERIC|SHORT_TEXT","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.18,ks3-maths,Y7,MUL,Short division with remainders,"NUMERIC|SHORT_TEXT","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.19,ks3-maths,Y7,MUL,Short division with decimal answers,"NUMERIC","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.20,ks3-maths,Y7,MUL,Divide decimals,"NUMERIC|SHORT_TEXT","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.21,ks3-maths,Y7,ARE,Find missing lengths given area,"NUMERIC|SHORT_TEXT","ONBOARDING|LEARN|RETEACH"
N3.22,ks3-maths,Y7,STA,Solve problems using the mean,"NUMERIC|SHORT_TEXT","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.23,ks3-maths,Y7,SQR,Square and cube numbers roots,"NUMERIC|SHORT_TEXT|SINGLE_CHOICE","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.24,ks3-maths,Y7,FAC,Introduction to primes,"TRUE_FALSE|SINGLE_CHOICE|SHORT_TEXT","ONBOARDING|LEARN|RETEACH|RETAIN"
